wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (11.43491000000000035 2.32461999999999991),01/06/2017,01/06/2017,2.32462,11.43491,556,maize,arachide/gombo/pattate,2017_CM_GARDIAN-62_POINT_110202,11,9998,0,01/06/2017
Point (11.43941000000000052 2.31669999999999998),01/06/2017,01/06/2017,2.3167,11.43941,582,maize,manioc,2017_CM_GARDIAN-62_POINT_110203,11,9998,0,01/06/2017
Point (11.98192000000000057 2.95462999999999987),02/06/2017,02/06/2017,2.95463,11.98192,688,maize,arachide/pattate,2017_CM_GARDIAN-62_POINT_110204,11,9998,0,02/06/2017
Point (11.97824999999999918 2.95348999999999995),02/06/2017,02/06/2017,2.95349,11.97825,688,maize,manioc/banane,2017_CM_GARDIAN-62_POINT_110205,10,9998,0,02/06/2017
Point (11.96826000000000079 2.95538999999999996),02/06/2017,02/06/2017,2.95539,11.96826,656,maize,legumes/manioc/banane,2017_CM_GARDIAN-62_POINT_110206,11,9998,0,02/06/2017
Point (11.96073999999999948 2.97797000000000001),02/06/2017,02/06/2017,2.97797,11.96074,698,maize,manioc/arachide,2017_CM_GARDIAN-62_POINT_110207,11,9998,0,02/06/2017
Point (11.96057000000000059 2.98855999999999966),02/06/2017,02/06/2017,2.98856,11.96057,660,maize,gombo/arachide/manioc/macabo,2017_CM_GARDIAN-62_POINT_110208,11,9998,0,02/06/2017
Point (11.83117000000000019 3.11920000000000019),02/06/2017,02/06/2017,3.1192,11.83117,684,maize,manioc/arachide/plantain/macabo,2017_CM_GARDIAN-62_POINT_110209,11,9998,0,02/06/2017
Point (11.82789999999999964 3.14902000000000015),02/06/2017,02/06/2017,3.14902,11.8279,696,maize,manioc/arachide/macabo,2017_CM_GARDIAN-62_POINT_110210,11,9998,0,02/06/2017
Point (11.83048999999999928 3.15350999999999981),02/06/2017,02/06/2017,3.15351,11.83049,701,maize,manioc/arachide,2017_CM_GARDIAN-62_POINT_110211,11,9998,0,02/06/2017
Point (11.78482999999999947 3.24531999999999998),02/06/2017,02/06/2017,3.24532,11.78483,664,maize,arachide/manioc/plantain,2017_CM_GARDIAN-62_POINT_110212,11,9998,0,02/06/2017
Point (11.82038000000000011 3.16701999999999995),02/06/2017,02/06/2017,3.16702,11.82038,704,maize,no,2017_CM_GARDIAN-62_POINT_110213,11,1200,0,02/06/2017
